Log Date, Departure, Arrival, Date, Flight, DepartTime, ArriveTime, Duration, Cost, Nonstop
2017-11-16 09:35:47.841770, MCI, LAS, 02/02/2018, 6370, 5:05 PM, 8:25 PM, 5h 20m, 170
2017-11-16 09:35:48.049765, MCI, LAS, 02/02/2018, 204, 5:15 PM, 8:35 PM, 5h 20m, 145
2017-11-16 09:35:48.259850, MCI, LAS, 02/02/2018, 1283, 7:00 PM, 10:25 PM, 5h 25m, 141
2017-11-16 09:35:48.477196, MCI, LAS, 02/02/2018, 212, 7:25 PM, 8:40 PM, 3h 15m, 137, nonstop
2017-11-16 09:35:58.985154, LAS, MCI, 02/05/2018, 6847, 6:00 AM, 10:45 AM, 2h 45m, 137, nonstop
2017-11-16 09:35:59.261696, LAS, MCI, 02/05/2018, 1691, 6:05 AM, 1:05 PM, 5h 00m, 330
2017-11-16 09:35:59.520162, LAS, MCI, 02/05/2018, 807, 6:10 AM, 1:10 PM, 5h 00m, 170
2017-11-16 09:35:59.755333, LAS, MCI, 02/05/2018, 1675, 7:00 AM, 1:10 PM, 4h 10m, 220
2017-11-16 09:36:00.001372, LAS, MCI, 02/05/2018, 805, 7:45 AM, 3:00 PM, 5h 15m, 166
2017-11-16 09:36:00.237217, LAS, MCI, 02/05/2018, 1722, 8:00 AM, 2:50 PM, 4h 50m, 220
2017-11-16 09:36:00.463083, LAS, MCI, 02/05/2018, 103, 9:25 AM, 5:00 PM, 5h 35m, 256
2017-11-16 09:36:00.684809, LAS, MCI, 02/05/2018, 1909, 11:10 AM, 3:55 PM, 2h 45m, 372, nonstop
2017-11-16 09:36:00.933226, LAS, MCI, 02/05/2018, 1456, 11:10 AM, 5:10 PM, 4h 00m, 286
2017-11-16 09:36:01.172615, LAS, MCI, 02/05/2018, 504, 2:50 PM, 9:20 PM, 4h 30m, 220
2017-11-16 09:36:01.394614, LAS, MCI, 02/05/2018, 400, 3:05 PM, 10:25 PM, 5h 20m, 170
2017-11-16 09:36:01.619959, LAS, MCI, 02/05/2018, 6078, 3:25 PM, 10:10 PM, 4h 45m, 220
2017-11-16 09:36:01.851477, LAS, MCI, 02/05/2018, 925, 3:45 PM, 10:50 PM, 5h 05m, 260
2017-11-16 09:36:02.092881, LAS, MCI, 02/05/2018, 5905, 5:35 PM, 11:25 PM, 3h 50m, 170
2017-11-16 09:36:02.314146, LAS, MCI, 02/05/2018, 1592, 6:25 PM, 11:05 PM, 2h 40m, 212, nonstop
2017-11-16 09:36:02.549044, LAS, MCI, 02/05/2018, 1927, 8:20 PM, 1:00 AM Next Day, 2h 40m, 117, nonstop
2017-11-16 09:40:09.046779, MCI, LAS, 02/02/2018, 1095, 5:25 AM, 6:40 AM, 3h 15m, 187, nonstop
2017-11-16 09:40:09.300625, MCI, LAS, 02/02/2018, 818, 6:10 AM, 9:30 AM, 5h 20m, 195
2017-11-16 09:40:09.544632, MCI, LAS, 02/02/2018, 1233, 6:40 AM, 10:35 AM, 5h 55m, 220
2017-11-16 09:40:09.808949, MCI, LAS, 02/02/2018, 1713, 6:50 AM, 10:55 AM, 6h 05m, 216
2017-11-16 09:40:10.027182, MCI, LAS, 02/02/2018, 198, 9:30 AM, 1:10 PM, 5h 40m, 260
2017-11-16 09:40:10.244640, MCI, LAS, 02/02/2018, 5456, 10:30 AM, 2:40 PM, 6h 10m, 220
2017-11-16 09:40:10.502208, MCI, LAS, 02/02/2018, 503, 11:00 AM, 1:35 PM, 4h 35m, 286
2017-11-16 09:40:10.733300, MCI, LAS, 02/02/2018, 503, 11:00 AM, 2:55 PM, 5h 55m, 195
2017-11-16 09:40:10.952084, MCI, LAS, 02/02/2018, 1760, 11:20 AM, 12:30 PM, 3h 10m, 212, nonstop
2017-11-16 09:40:11.194404, MCI, LAS, 02/02/2018, 1074, 3:00 PM, 4:10 PM, 3h 10m, 162, nonstop
2017-11-16 09:40:11.436442, MCI, LAS, 02/02/2018, 756, 3:25 PM, 7:20 PM, 5h 55m, 195
2017-11-16 09:40:11.680815, MCI, LAS, 02/02/2018, 5637, 3:55 PM, 7:05 PM, 5h 10m, 170
2017-11-16 09:40:11.899006, MCI, LAS, 02/02/2018, 865, 4:30 PM, 6:45 PM, 4h 15m, 166
2017-11-16 09:40:12.114973, MCI, LAS, 02/02/2018, 924, 5:00 PM, 8:15 PM, 5h 15m, 141
2017-11-16 09:40:12.337432, MCI, LAS, 02/02/2018, 6370, 5:05 PM, 8:25 PM, 5h 20m, 170
2017-11-16 09:40:12.592107, MCI, LAS, 02/02/2018, 204, 5:15 PM, 8:35 PM, 5h 20m, 145
2017-11-16 09:40:12.830913, MCI, LAS, 02/02/2018, 1283, 7:00 PM, 10:25 PM, 5h 25m, 141
2017-11-16 09:40:13.062334, MCI, LAS, 02/02/2018, 212, 7:25 PM, 8:40 PM, 3h 15m, 137, nonstop
2017-11-16 09:40:22.409423, LAS, MCI, 02/05/2018, 6847, 6:00 AM, 10:45 AM, 2h 45m, 137, nonstop
2017-11-16 09:40:22.659516, LAS, MCI, 02/05/2018, 1691, 6:05 AM, 1:05 PM, 5h 00m, 330
2017-11-16 09:40:22.889952, LAS, MCI, 02/05/2018, 807, 6:10 AM, 1:10 PM, 5h 00m, 170
2017-11-16 09:40:23.166785, LAS, MCI, 02/05/2018, 1675, 7:00 AM, 1:10 PM, 4h 10m, 220
2017-11-16 09:40:23.443319, LAS, MCI, 02/05/2018, 805, 7:45 AM, 3:00 PM, 5h 15m, 166
2017-11-16 09:40:23.694787, LAS, MCI, 02/05/2018, 1722, 8:00 AM, 2:50 PM, 4h 50m, 220
2017-11-16 09:40:23.935955, LAS, MCI, 02/05/2018, 103, 9:25 AM, 5:00 PM, 5h 35m, 256
2017-11-16 09:40:24.182990, LAS, MCI, 02/05/2018, 1909, 11:10 AM, 3:55 PM, 2h 45m, 372, nonstop
2017-11-16 09:40:24.453681, LAS, MCI, 02/05/2018, 1456, 11:10 AM, 5:10 PM, 4h 00m, 286
2017-11-16 09:40:24.692805, LAS, MCI, 02/05/2018, 504, 2:50 PM, 9:20 PM, 4h 30m, 220
2017-11-16 09:40:24.920946, LAS, MCI, 02/05/2018, 400, 3:05 PM, 10:25 PM, 5h 20m, 170
2017-11-16 09:40:25.170368, LAS, MCI, 02/05/2018, 6078, 3:25 PM, 10:10 PM, 4h 45m, 220
2017-11-16 09:40:25.415710, LAS, MCI, 02/05/2018, 925, 3:45 PM, 10:50 PM, 5h 05m, 260
2017-11-16 09:40:25.662038, LAS, MCI, 02/05/2018, 5905, 5:35 PM, 11:25 PM, 3h 50m, 170
2017-11-16 09:40:25.901739, LAS, MCI, 02/05/2018, 1592, 6:25 PM, 11:05 PM, 2h 40m, 212, nonstop
2017-11-16 09:40:26.158219, LAS, MCI, 02/05/2018, 1927, 8:20 PM, 1:00 AM Next Day, 2h 40m, 117, nonstop
2017-11-16 09:47:37.068494, MCI, LAS, 02/02/2018, 1095, 5:25 AM, 6:40 AM, 3h 15m, 187, nonstop
2017-11-16 09:47:37.297315, MCI, LAS, 02/02/2018, 818, 6:10 AM, 9:30 AM, 5h 20m, 195
2017-11-16 09:47:37.521427, MCI, LAS, 02/02/2018, 1233, 6:40 AM, 10:35 AM, 5h 55m, 220
2017-11-16 09:47:37.745739, MCI, LAS, 02/02/2018, 1713, 6:50 AM, 10:55 AM, 6h 05m, 216
2017-11-16 09:47:37.980646, MCI, LAS, 02/02/2018, 198, 9:30 AM, 1:10 PM, 5h 40m, 260
2017-11-16 09:47:38.198411, MCI, LAS, 02/02/2018, 5456, 10:30 AM, 2:40 PM, 6h 10m, 220
2017-11-16 09:47:38.420864, MCI, LAS, 02/02/2018, 503, 11:00 AM, 1:35 PM, 4h 35m, 286
2017-11-16 09:47:38.634309, MCI, LAS, 02/02/2018, 503, 11:00 AM, 2:55 PM, 5h 55m, 195
2017-11-16 09:47:38.858451, MCI, LAS, 02/02/2018, 1760, 11:20 AM, 12:30 PM, 3h 10m, 212, nonstop
2017-11-16 09:47:39.098129, MCI, LAS, 02/02/2018, 1074, 3:00 PM, 4:10 PM, 3h 10m, 162, nonstop
2017-11-16 09:47:39.318409, MCI, LAS, 02/02/2018, 756, 3:25 PM, 7:20 PM, 5h 55m, 195
2017-11-16 09:47:39.534379, MCI, LAS, 02/02/2018, 5637, 3:55 PM, 7:05 PM, 5h 10m, 170
2017-11-16 09:47:39.753672, MCI, LAS, 02/02/2018, 865, 4:30 PM, 6:45 PM, 4h 15m, 166
2017-11-16 09:47:39.975791, MCI, LAS, 02/02/2018, 924, 5:00 PM, 8:15 PM, 5h 15m, 141
2017-11-16 09:47:40.231824, MCI, LAS, 02/02/2018, 6370, 5:05 PM, 8:25 PM, 5h 20m, 170
2017-11-16 09:47:40.449623, MCI, LAS, 02/02/2018, 204, 5:15 PM, 8:35 PM, 5h 20m, 145
2017-11-16 09:47:40.673595, MCI, LAS, 02/02/2018, 1283, 7:00 PM, 10:25 PM, 5h 25m, 141
2017-11-16 09:47:40.893346, MCI, LAS, 02/02/2018, 212, 7:25 PM, 8:40 PM, 3h 15m, 137, nonstop
2017-11-16 09:47:50.127947, LAS, MCI, 02/05/2018, 6847, 6:00 AM, 10:45 AM, 2h 45m, 137, nonstop
2017-11-16 09:47:50.379028, LAS, MCI, 02/05/2018, 1691, 6:05 AM, 1:05 PM, 5h 00m, 330
2017-11-16 09:47:50.623357, LAS, MCI, 02/05/2018, 807, 6:10 AM, 1:10 PM, 5h 00m, 170
2017-11-16 09:47:50.880468, LAS, MCI, 02/05/2018, 1675, 7:00 AM, 1:10 PM, 4h 10m, 220
2017-11-16 09:47:51.120822, LAS, MCI, 02/05/2018, 805, 7:45 AM, 3:00 PM, 5h 15m, 166
2017-11-16 09:47:51.349195, LAS, MCI, 02/05/2018, 1722, 8:00 AM, 2:50 PM, 4h 50m, 220
2017-11-16 09:47:51.569640, LAS, MCI, 02/05/2018, 103, 9:25 AM, 5:00 PM, 5h 35m, 256
2017-11-16 09:47:51.793017, LAS, MCI, 02/05/2018, 1909, 11:10 AM, 3:55 PM, 2h 45m, 372, nonstop
2017-11-16 09:47:52.036001, LAS, MCI, 02/05/2018, 1456, 11:10 AM, 5:10 PM, 4h 00m, 286
2017-11-16 09:47:52.267695, LAS, MCI, 02/05/2018, 504, 2:50 PM, 9:20 PM, 4h 30m, 220
2017-11-16 09:47:52.507207, LAS, MCI, 02/05/2018, 400, 3:05 PM, 10:25 PM, 5h 20m, 170
2017-11-16 09:47:52.755080, LAS, MCI, 02/05/2018, 6078, 3:25 PM, 10:10 PM, 4h 45m, 220
2017-11-16 09:47:53.025609, LAS, MCI, 02/05/2018, 925, 3:45 PM, 10:50 PM, 5h 05m, 260
2017-11-16 09:47:53.252613, LAS, MCI, 02/05/2018, 5905, 5:35 PM, 11:25 PM, 3h 50m, 170
2017-11-16 09:47:53.484397, LAS, MCI, 02/05/2018, 1592, 6:25 PM, 11:05 PM, 2h 40m, 212, nonstop
2017-11-16 09:47:53.728643, LAS, MCI, 02/05/2018, 1927, 8:20 PM, 1:00 AM Next Day, 2h 40m, 117, nonstop
2017-11-16 10:21:31.955425, MCI, LAS, 02/02/2018, 1095, 5:25 AM, 6:40 AM, 3h 15m, 187, nonstop
2017-11-16 10:21:32.164559, MCI, LAS, 02/02/2018, 818, 6:10 AM, 9:30 AM, 5h 20m, 195
2017-11-16 10:21:32.382275, MCI, LAS, 02/02/2018, 1233, 6:40 AM, 10:35 AM, 5h 55m, 220
2017-11-16 10:21:32.600582, MCI, LAS, 02/02/2018, 1713, 6:50 AM, 10:55 AM, 6h 05m, 216
2017-11-16 10:21:32.841730, MCI, LAS, 02/02/2018, 198, 9:30 AM, 1:10 PM, 5h 40m, 260
2017-11-16 10:21:33.062241, MCI, LAS, 02/02/2018, 5456, 10:30 AM, 2:40 PM, 6h 10m, 220
2017-11-16 10:21:33.277160, MCI, LAS, 02/02/2018, 503, 11:00 AM, 1:35 PM, 4h 35m, 286
2017-11-16 10:21:33.505091, MCI, LAS, 02/02/2018, 503, 11:00 AM, 2:55 PM, 5h 55m, 195
2017-11-16 10:21:33.748858, MCI, LAS, 02/02/2018, 1760, 11:20 AM, 12:30 PM, 3h 10m, 212, nonstop
2017-11-16 10:21:33.964907, MCI, LAS, 02/02/2018, 1074, 3:00 PM, 4:10 PM, 3h 10m, 162, nonstop
2017-11-16 10:21:34.180426, MCI, LAS, 02/02/2018, 756, 3:25 PM, 7:20 PM, 5h 55m, 195
2017-11-16 10:21:34.402898, MCI, LAS, 02/02/2018, 5637, 3:55 PM, 7:05 PM, 5h 10m, 170
2017-11-16 10:21:34.643748, MCI, LAS, 02/02/2018, 865, 4:30 PM, 6:45 PM, 4h 15m, 166
2017-11-16 10:21:34.861780, MCI, LAS, 02/02/2018, 924, 5:00 PM, 8:15 PM, 5h 15m, 141
2017-11-16 10:21:35.077357, MCI, LAS, 02/02/2018, 6370, 5:05 PM, 8:25 PM, 5h 20m, 170
2017-11-16 10:21:35.298703, MCI, LAS, 02/02/2018, 204, 5:15 PM, 8:35 PM, 5h 20m, 145
2017-11-16 10:21:35.528002, MCI, LAS, 02/02/2018, 1283, 7:00 PM, 10:25 PM, 5h 25m, 141
2017-11-16 10:21:35.770965, MCI, LAS, 02/02/2018, 212, 7:25 PM, 8:40 PM, 3h 15m, 137, nonstop
2017-11-16 10:21:45.351576, LAS, MCI, 02/05/2018, 6847, 6:00 AM, 10:45 AM, 2h 45m, 137, nonstop
2017-11-16 10:21:45.617566, LAS, MCI, 02/05/2018, 1691, 6:05 AM, 1:05 PM, 5h 00m, 330
2017-11-16 10:21:45.835683, LAS, MCI, 02/05/2018, 807, 6:10 AM, 1:10 PM, 5h 00m, 170
2017-11-16 10:21:46.056700, LAS, MCI, 02/05/2018, 1675, 7:00 AM, 1:10 PM, 4h 10m, 220
2017-11-16 10:21:46.286486, LAS, MCI, 02/05/2018, 805, 7:45 AM, 3:00 PM, 5h 15m, 166
2017-11-16 10:21:46.528205, LAS, MCI, 02/05/2018, 1722, 8:00 AM, 2:50 PM, 4h 50m, 220
2017-11-16 10:21:46.772040, LAS, MCI, 02/05/2018, 103, 9:25 AM, 5:00 PM, 5h 35m, 256
2017-11-16 10:21:47.015024, LAS, MCI, 02/05/2018, 1909, 11:10 AM, 3:55 PM, 2h 45m, 372, nonstop
2017-11-16 10:21:47.261980, LAS, MCI, 02/05/2018, 1456, 11:10 AM, 5:10 PM, 4h 00m, 286
2017-11-16 10:21:47.480528, LAS, MCI, 02/05/2018, 504, 2:50 PM, 9:20 PM, 4h 30m, 220
2017-11-16 10:21:47.702017, LAS, MCI, 02/05/2018, 400, 3:05 PM, 10:25 PM, 5h 20m, 170
2017-11-16 10:21:47.960195, LAS, MCI, 02/05/2018, 6078, 3:25 PM, 10:10 PM, 4h 45m, 220
2017-11-16 10:21:48.208353, LAS, MCI, 02/05/2018, 925, 3:45 PM, 10:50 PM, 5h 05m, 260
2017-11-16 10:21:48.447749, LAS, MCI, 02/05/2018, 5905, 5:35 PM, 11:25 PM, 3h 50m, 170
2017-11-16 10:21:48.721693, LAS, MCI, 02/05/2018, 1592, 6:25 PM, 11:05 PM, 2h 40m, 212, nonstop
2017-11-16 10:21:49.005048, LAS, MCI, 02/05/2018, 1927, 8:20 PM, 1:00 AM Next Day, 2h 40m, 117, nonstop
